,entity_name,filename,entity_type,snippet
107,dirk leendert,NL-HaNA_1.04.02_6847_0047.txt,PERSON," negen en dirk leendert
omtrent E"
109,"aflijvig
",NL-HaNA_1.04.02_6847_0047.txt,PERSON,"er wereld aflijvig
wordende d"
111,ingelijke geelen,NL-HaNA_1.04.02_6847_0047.txt,PERSON, er drien ingelijke geelen alle meed
116,beneficinin van alle,NL-HaNA_1.04.02_6847_0063.txt,PERSON,"et nobile beneficinin van alle
regt en d"
117,huyse van den,NL-HaNA_1.04.02_6847_0063.txt,PERSON,teerd ten huyse van den testateur
118,Ian Carelszen,NL-HaNA_1.04.02_6847_0063.txt,PERSON,entie van Ian Carelszen Zoaelitbr
119,Zoaelitbra,NL-HaNA_1.04.02_6847_0063.txt,PERSON,"Carelszen Zoaelitbra„
ham Simo"
122,quod attestor /was,NL-HaNA_1.04.02_6847_0063.txt,PERSON,derstond/ quod attestor /was getekend 
123,getekend M,NL-HaNA_1.04.02_6847_0063.txt,PERSON,stor /was getekend M: D: V: Ha
124,weeck gelesen,NL-HaNA_1.04.02_6847_0063.txt,PERSON," hier ter weeck gelesen en
geregi"
125,dato,NL-HaNA_1.04.02_6847_0063.txt,PERSON,"lutie van dato rescoba„
"
128,Jacob Adolff,NL-HaNA_1.04.02_6847_0063.txt,PERSON,"ag seraat
Jacob Adolff ver Mehr
"
129,Heeden,NL-HaNA_1.04.02_6847_0063.txt,PERSON,„o 20. op Heeden den 31:' 
130,Egbert Blomhert,NL-HaNA_1.04.02_6847_0063.txt,PERSON,r mij m:r Egbert Blomhert not:o per
131,notario,NL-HaNA_1.04.02_6847_0063.txt,PERSON," Blomhert not:o perbt
bij d"
132,"perbt
",NL-HaNA_1.04.02_6847_0063.txt,PERSON,"t not:o perbt
bij de Edele"
134,deshad ba,NL-HaNA_1.04.02_6847_0063.txt,PERSON," binnen deshad ba„
favra resi"
135,"Jacob

",NL-HaNA_1.04.02_6847_0063.txt,PERSON,"gen E:s Jacob

Adolff ver M"
137,onaangesien,NL-HaNA_1.04.02_6847_0063.txt,PERSON, Comp:s onaangesien zijn zieken
142,zyne tijdelyke,NL-HaNA_1.04.02_6847_0063.txt,PERSON,om over zyne tijdelyke goederen te
143,Keroratie,NL-HaNA_1.04.02_6847_0063.txt,PERSON,ren met Keroratie van alle zi
145,gispioneerende zoo,NL-HaNA_1.04.02_6847_0063.txt,PERSON, nieuws gispioneerende zoo verklaarde 
147,prealabel,NL-HaNA_1.04.02_6847_0063.txt,PERSON,ond pij prealabel door mij wa
148,Tsindra,NL-HaNA_1.04.02_6847_0063.txt,PERSON,"n wij H Tsindra van boe„
gi"
149,Rosina van maccasser,NL-HaNA_1.04.02_6847_0063.txt,PERSON,"un kind Rosina van maccasser, Jasson van"
150,Jasson,NL-HaNA_1.04.02_6847_0063.txt,PERSON,"casser, Jasson van boegis
"
151,sijn wijff,NL-HaNA_1.04.02_6847_0063.txt,PERSON,"gis
met sijn wijff manies van "
152,Ternaten,NL-HaNA_1.04.02_6847_0063.txt,PERSON,ies van Ternaten mitsg:s hun
153,mitsg,NL-HaNA_1.04.02_6847_0063.txt,PERSON,ernaten mitsg:s hunne kin
154,Catharina Susanna van Heuven wed,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"vig
Just= Catharina Susanna van Heuven wed:e van
dE "
155,Etzardus Rotgers,NL-HaNA_1.04.02_6847_0050.txt,PERSON,":e van
dE Etzardus Rotgers /en l / o"
157,r koopm,NL-HaNA_1.04.02_6847_0050.txt,PERSON,n l / ond:r koopm: in diens
158,legitime,NL-HaNA_1.04.02_6847_0050.txt,PERSON,e voorsz: legitime portie de
159,affiermeerende den,NL-HaNA_1.04.02_6847_0050.txt,PERSON,tutie als affiermeerende den heer test
160,heer testa,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"rende den heer testa„
ten geen"
161,laastelijk versoekt,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"e hebben,
laastelijk versoekt den heer "
162,Cornelis de kock ordr,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"ichaam de Cornelis de kock ordr
Clercq en"
163,mons,NL-HaNA_1.04.02_6847_0050.txt,PERSON,Clercq en mons:r Johan J
164,Johan Jacob muller,NL-HaNA_1.04.02_6847_0050.txt,PERSON,en mons:r Johan Jacob muller Chirurgin
167,von zijn ofte,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"esooister von zijn ofte haar
begr"
168,regeerende,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"toesiende regeerende als
Carmi"
169,Testateur,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"
den haer Testateur daar en b"
172,Edele gestr,NL-HaNA_1.04.02_6847_0050.txt,PERSON,n den wel Edele gestr: heer m:r
173,"maurits

",NL-HaNA_1.04.02_6847_0050.txt,PERSON," heer m:r maurits

l:
Theodor"
174,Theodorus Hilgers,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"urits

l:
Theodorus Hilgers raad Extr"
175,george willem,NL-HaNA_1.04.02_6847_0050.txt,PERSON,nevens de george willem Ransche o
176,Casteele,NL-HaNA_1.04.02_6847_0050.txt,PERSON,en deeser Casteele en den vo
177,en den voorn,NL-HaNA_1.04.02_6847_0050.txt,PERSON, Casteele en den voorn: E. Corne
178,E. Cornelis,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"en voorn: E. Cornelis
de kok ge"
179,t bijsonder,NL-HaNA_1.04.02_6847_0050.txt,PERSON," ieder in t bijsonder hierom„
t"
184,Execut,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"ateur tot Execut:
over zyn"
185,voeker,NL-HaNA_1.04.02_6847_0050.txt,PERSON,"biedig
te voeker de wel Ed"
189,Tine,NL-HaNA_1.04.02_6847_0065.txt,PERSON, ten dien Tine het nobil
190,beneficinin,NL-HaNA_1.04.02_6847_0065.txt,PERSON,"et nobile beneficinin van alle
"
191,huijse van den,NL-HaNA_1.04.02_6847_0065.txt,PERSON,teerd ten huijse van den testateur
192,Ian Carelszen,NL-HaNA_1.04.02_6847_0065.txt,PERSON,entie van Ian Carelszen Zael Abra
196,quod attestor,NL-HaNA_1.04.02_6847_0065.txt,PERSON,derstond/ quod attestor /was gete
197,getekend M,NL-HaNA_1.04.02_6847_0065.txt,PERSON,stor /was getekend M: D: V: Ha
199,kadra,NL-HaNA_1.04.02_6847_0065.txt,PERSON,"o resoba„
kadra in de wee"
200,d/ meij,NL-HaNA_1.04.02_6847_0065.txt,PERSON,9 / getek:d/ meij en serret
201,en serret,NL-HaNA_1.04.02_6847_0065.txt,PERSON,"k:d/ meij en serret:
Jacob Ad"
202,Jacob Adolff,NL-HaNA_1.04.02_6847_0065.txt,PERSON,"n serret:
Jacob Adolff ver Mehr
"
203,Heeden,NL-HaNA_1.04.02_6847_0065.txt,PERSON,„o 20. op Heeden den 31: M
204,Egbert Blomhert,NL-HaNA_1.04.02_6847_0065.txt,PERSON,r mij m:r Egbert Blomhert not:o pir
205,notario,NL-HaNA_1.04.02_6847_0065.txt,PERSON," Blomhert not:o pirbt
bij d"
207,"Jacob
",NL-HaNA_1.04.02_6847_0065.txt,PERSON,"en Ep:s Jacob
„
Saoljzr vo"
208,von Mena,NL-HaNA_1.04.02_6847_0065.txt,PERSON,Saoljzr von Mena boekhouder 
209,malarca,NL-HaNA_1.04.02_6847_0065.txt,PERSON,de vrea malarca binnen deze
210,onaangesien,NL-HaNA_1.04.02_6847_0065.txt,PERSON, Comp:s onaangesien zijn zieken
212,wesen,NL-HaNA_1.04.02_6847_0065.txt,PERSON,egen te wesen om over zyn
213,zyne tijdelyke,NL-HaNA_1.04.02_6847_0065.txt,PERSON,om over zyne tijdelyke goederen te
214,Keroratie,NL-HaNA_1.04.02_6847_0065.txt,PERSON,ren met Keroratie van alle zi
220,Tsindra,NL-HaNA_1.04.02_6847_0065.txt,PERSON,"n wij H Tsindra van boe„
gi"
221,Rosina van maccasser,NL-HaNA_1.04.02_6847_0065.txt,PERSON,"un kind Rosina van maccasser, Jasson van"
222,Jasson,NL-HaNA_1.04.02_6847_0065.txt,PERSON,"casser, Jasson van boegis
"
223,Ternaten,NL-HaNA_1.04.02_6847_0065.txt,PERSON,ies van Ternaten mitsg:s min
224,mitsg,NL-HaNA_1.04.02_6847_0065.txt,PERSON,ernaten mitsg:s minne kin
225,oortjndische Comp,NL-HaNA_1.04.02_6847_0750.txt,PERSON,roijeerde oortjndische Comp: ter Rume
226,Heer teslateur,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"Eerwaarde Heer teslateur afsin
„me"
229,Vordre,NL-HaNA_1.04.02_6847_0750.txt,PERSON,„ning aan Vordre voor de H
230,Ginereert,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"ur alhier
Ginereert te willen"
232,dues vugge,NL-HaNA_1.04.02_6847_0750.txt,PERSON,argine op dues vugge Ian wel b
233,Ian,NL-HaNA_1.04.02_6847_0750.txt,PERSON,ues vugge Ian wel bij a
234,memorien,NL-HaNA_1.04.02_6847_0750.txt,PERSON,eteekende memorien of te ges
235,alsulke,NL-HaNA_1.04.02_6847_0750.txt,PERSON,ceren met alsulke legaten p
236,Eman,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"aten item Eman
„lipatie "
237,lipatie van lijf Eigenen,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"tem Eman
„lipatie van lijf Eigenen, en gedaa"
240,mitsg,NL-HaNA_1.04.02_6847_0750.txt,PERSON,rminderen mitsg:s in daan
241,"daan
",NL-HaNA_1.04.02_6847_0750.txt,PERSON,"itsg:s in daan
„stelling "
244,den Eerwaarde Heer,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"ven staat den Eerwaarde Heer ter
„tate"
245,tateur duijdelijk voorgeleesen,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"Heer ter
„tateur duijdelijk voorgeleesen en bij zi"
248,getecteert,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"aan
Aldus getecteert present J"
249,Johannes Ezechiel felir,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"t present Johannes Ezechiel felir en
Leende"
250,Leendert Danielsz,NL-HaNA_1.04.02_6847_0750.txt,PERSON," felir en
Leendert Danielsz Clercquen"
251,Clercquen,NL-HaNA_1.04.02_6847_0750.txt,PERSON, Danielsz Clercquen als getui
253,"dalo
",NL-HaNA_1.04.02_6847_0750.txt,PERSON,"utien van dalo
deses /ond"
255,Laelé seert,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"nd/ H: N: Laelé seert:s
Johanns"
256,Herman,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"oor mij m Herman, Scheltus"
257,Scheltus,NL-HaNA_1.04.02_6847_0750.txt,PERSON,"m Herman, Scheltus notaris, "
262,Christiaan Perdinant,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"ij bekend
Christiaan Perdinant Cramer
Op"
263,Herman Scheltus,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"r mij M:r Herman Scheltus Notaris
p"
266,Resideerende,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"d Batavia Resideerende, present "
267,Christiaan Ferdinant Cramer,NL-HaNA_1.04.02_6847_0075.txt,PERSON,ijgen DE: Christiaan Ferdinant Cramer opperchir
273,prodato deeses,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"e zijn
E: prodato deeses gemaakt o"
274,Iulij Jongstl,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"p den 25. Iulij Jongstl:
voor mij"
276,kork alhier,NL-HaNA_1.04.02_6847_0075.txt,PERSON,Lutersche kork alhier tot onder
278,Leonora Abrahams,NL-HaNA_1.04.02_6847_0075.txt,PERSON,ten vrouw Leonora Abrahams door de w
279,Lea voor haere,NL-HaNA_1.04.02_6847_0075.txt,PERSON,amd Nonja Lea voor haere trouwe op
281,Hendrik Coenraad Sanders,NL-HaNA_1.04.02_6847_0075.txt,PERSON, den heer Hendrik Coenraad Sanders te Alkmaa
282,verschoo,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"rs zuster verschoo„
ten, als"
283,Testateur,NL-HaNA_1.04.02_6847_0075.txt,PERSON,de den E: Testateur die somma
284,generaale Erfstelling,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"ateur ter generaale Erfstelling advan„
ce"
285,advan,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"fstelling advan„
ceerende"
288,"Lambertus
Gerardus Cramer",NL-HaNA_1.04.02_6847_0075.txt,PERSON,"n zoontje Lambertus
Gerardus Cramer oud omtre"
289,Testateurs,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"alle
zijn Testateurs ververe n"
290,actien,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"nde, item actien en Credit"
291,Crediten,NL-HaNA_1.04.02_6847_0075.txt,PERSON,"actien en Crediten
Dog ingev"
292,Jan Hendk,NL-HaNA_1.04.02_6847_0044.txt,PERSON,"n dE Heer Jan Hendk
Pook dros"
293,drossaard der bataviasche,NL-HaNA_1.04.02_6847_0044.txt,PERSON,"endk
Pook drossaard der bataviasche ommelande"
294,bemoegjenisse,NL-HaNA_1.04.02_6847_0044.txt,PERSON," buy„
ten bemoegjenisse en met se"
295,seclucie van heeren weesm,NL-HaNA_1.04.02_6847_0044.txt,PERSON,"se en met seclucie van heeren weesm en dE
Cur"
297,oostindische Comp,NL-HaNA_1.04.02_6847_0044.txt,PERSON,odijeerde oostindische Comp: ter kame
298,ontfangst der zelver,NL-HaNA_1.04.02_6847_0044.txt,PERSON,e tot den ontfangst der zelver zullen we
301,cas subfect,NL-HaNA_1.04.02_6847_0044.txt,PERSON,"delens in cas subfect gesteld,
"
302,zyne Testamentaire,NL-HaNA_1.04.02_6847_0044.txt,PERSON," om
deese zyne Testamentaire dispositi"
305,memorien,NL-HaNA_1.04.02_6847_0044.txt,PERSON,j apparte memorien met aanst
311,inne,NL-HaNA_1.04.02_6847_0044.txt,PERSON,"of t
hier inne woordelij"
312,Cil voor nots,NL-HaNA_1.04.02_6847_0044.txt,PERSON,"bij codi„
Cil voor nots: en getui"
313,huijse van den,NL-HaNA_1.04.02_6847_0044.txt,PERSON,eerde ten huijse van den opperchir
315,Abraham Salomons,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"e
Clercq:
Abraham Salomons en Hendri"
316,Hendrik Abrahamsz,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"lomons en Hendrik Abrahamsz
als getri"
317,gnodaterston,NL-HaNA_1.04.02_6847_0016.txt,PERSON,derstond/ gnodaterston was getek
318,Blomhert,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"d
Eggbert Blomhert /mots:
na"
319,/mots,NL-HaNA_1.04.02_6847_0016.txt,PERSON," Blomhert /mots:
naar ged"
321,alhier resideerende,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"emde nots alhier resideerende
Natavo de"
322,8bert,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"o den 13: 8bert 1768:
Mar"
323,Egbert Blomhert,NL-HaNA_1.04.02_6847_0016.txt,PERSON,r mij m:r Egbert Blomhert nots: pnb
324,pnbl,NL-HaNA_1.04.02_6847_0016.txt,PERSON,ert nots: pnbl: by de Ed
326,getuggen mont,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"rgenoemde getuggen mont Martin
Al"
327,"Martin
",NL-HaNA_1.04.02_6847_0016.txt,PERSON,"ggen mont Martin
Albregt He"
328,ambagts quartier alhier,NL-HaNA_1.04.02_6847_0016.txt,PERSON,E: Comp:s ambagts quartier alhier en woonag
329,ziekelik van lichaam,NL-HaNA_1.04.02_6847_0016.txt,PERSON,":d
zijnde ziekelik van lichaam dog hebbe"
331,onverwaarde uytspraetie,NL-HaNA_1.04.02_6847_0016.txt,PERSON,rstand en onverwaarde uytspraetie te kennen
332,duicke,NL-HaNA_1.04.02_6847_0016.txt,PERSON,sonder in duicke aff Berma
333,sijne natelatene,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"n om over sijne natelatene goederen
"
335,deesen,NL-HaNA_1.04.02_6847_0016.txt,PERSON, doet bij deesen na voorga
337,onderte,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"n de hier onderte noemene
E"
339,noet,NL-HaNA_1.04.02_6847_0016.txt,PERSON,deren als noet getrouwt 
343,nogo patnam,NL-HaNA_1.04.02_6847_0039.txt,PERSON,conie tot nogo patnam eengelijk
344,Petrus Hollebeek,NL-HaNA_1.04.02_6847_0039.txt,PERSON,oeder dE: Petrus Hollebeek boekh en 
346,mitsg,NL-HaNA_1.04.02_6847_0039.txt,PERSON,agapatnam mitsg:s nat Ins
347,Anna Cornilia,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"nat Ins=m Anna Cornilia„
Bonk
en "
348,Jan du Mow Secunde,NL-HaNA_1.04.02_6847_0039.txt,PERSON,r man dE: Jan du Mow Secunde en Kassie
349,Kassier,NL-HaNA_1.04.02_6847_0039.txt,PERSON,ecunde en Kassier te Jagger
350,Jagger,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"assier te Jagger„
pack poe"
352,Jan du Mon versonden,NL-HaNA_1.04.02_6847_0039.txt,PERSON, haar man Jan du Mon versonden zal worde
353,Thien ofte,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"somma van Thien ofte met
huw b"
354,munte voorshheeven,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"jndaalder munte voorshheeven.—
Aan S=t"
357,anthonius gragt,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"
off Pite anthonius gragt buyten de"
358,Crietene persoone,NL-HaNA_1.04.02_6847_0039.txt,PERSON,nlandsche Crietene persoone Anvora Fr
362,generaale Eysshelling,NL-HaNA_1.04.02_6847_0039.txt,PERSON,lgens ter generaale Eysshelling overgaand
363,Testateur,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"aarde den
Testateur als geene"
366,Anna Cornelia Bonk,NL-HaNA_1.04.02_6847_0039.txt,PERSON,k en nigt Anna Cornelia Bonk item haar
367,Ian du,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"haare man Ian du
mon alle "
368,nate,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"e verdere nate„
latene g"
369,Egaale portien,NL-HaNA_1.04.02_6847_0039.txt,PERSON," drien in Egaale portien
verdeelt "
371,Constitueerende den,NL-HaNA_1.04.02_6847_0039.txt,PERSON,erende en Constitueerende den testateur
373,zijnes,NL-HaNA_1.04.02_6847_0039.txt,PERSON,edderaars zijnes boedels e
375,sijne begraffeniise,NL-HaNA_1.04.02_6847_0039.txt,PERSON,rgers van sijne begraffeniise VE: georg
376,george wilhelen,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"niise VE: george wilhelen Lasche
"
382,deen Comp,NL-HaNA_1.04.02_6847_0046.txt,PERSON,erklaarde deen Comp:s ordien 
383,ordien,NL-HaNA_1.04.02_6847_0046.txt,PERSON,en Comp:s ordien hij in de
385,zyne,NL-HaNA_1.04.02_6847_0046.txt,PERSON,uren over zyne nalatensc
388,generaale gemagtiggens,NL-HaNA_1.04.02_6847_0046.txt,PERSON," genoemde generaale gemagtiggens ten
Eijnd"
389,mitsg,NL-HaNA_1.04.02_6847_0046.txt,PERSON, te maken mitsg:s pabetal
391,constitueerdens aeniemand anders,NL-HaNA_1.04.02_6847_0046.txt,PERSON,"at de ge„
constitueerdens aeniemand anders Eenige re"
394,toede,NL-HaNA_1.04.02_6847_0046.txt,PERSON, volkomen toede vertrouwe
396,reverentelijk d’,NL-HaNA_1.04.02_6847_0046.txt,PERSON, oversulx reverentelijk d’ Eerw: Hee
398,adlites,NL-HaNA_1.04.02_6847_0046.txt,PERSON,Cunatoren adlites en alle a
399,mogistraats,NL-HaNA_1.04.02_6847_0046.txt,PERSON,le andere mogistraats persoonen
402,"Eddele
",NL-HaNA_1.04.02_6847_0046.txt,PERSON,"ig de wel Eddele
Groot agtb"
403,heeren bewindhebberen,NL-HaNA_1.04.02_6847_0046.txt,PERSON,oot agtb: heeren bewindhebberen der geoct
405,den ontfangst sal,NL-HaNA_1.04.02_6847_0046.txt,PERSON,e die tot den ontfangst sal wesen geq
406,Pieter Hendrik Popijwoud,NL-HaNA_1.04.02_6847_0062.txt,PERSON,"en
Dete
_
Pieter Hendrik Popijwoud hien Iaar"
407,"onroe
",NL-HaNA_1.04.02_6847_0062.txt,PERSON,"rende als onroe
dert
rende"
408,Executeuren van deeser,NL-HaNA_1.04.02_6847_0062.txt,PERSON,"ateur tot Executeuren van deeser
ƒ8
mente "
409,"zijne
",NL-HaNA_1.04.02_6847_0062.txt,PERSON,"edderaars zijne
han
nalate"
413,"Jan
gerhard",NL-HaNA_1.04.02_6847_0062.txt,PERSON,"en den E: Jan
gerhard Frost boe"
414,zijne voorsz,NL-HaNA_1.04.02_6847_0062.txt,PERSON,"ersoek om
zijne voorsz nalatensh"
415,Cassa van ’t,NL-HaNA_1.04.02_6847_0062.txt,PERSON,tellen in Cassa van ’t Eerw Coll
417,soekende hin,NL-HaNA_1.04.02_6847_0062.txt,PERSON,"lijk ger„
soekende hin ze willen"
419,genamen neevens,NL-HaNA_1.04.02_6847_0062.txt,PERSON,"erde Eif„
genamen neevens hunne te "
422,adlites alhier,NL-HaNA_1.04.02_6847_0062.txt,PERSON,r surator adlites alhier ter stede
425,Eecuteuren,NL-HaNA_1.04.02_6847_0062.txt,PERSON,"eren,
Tot Eecuteuren over syne"
427,Eerheedig,NL-HaNA_1.04.02_6847_0062.txt,PERSON,"teur zeer Eerheedig
lijk te v"
